序号,Store Name,城市,州,官网,门店类型,产品适配,为什么值得人工看,系统未自动升级原因,当前状态,建议动作,找邮箱应查哪里,优先级,中文备注
1,Colorado Game Company,Colorado Springs,CO,https://www.cogameco.com/,board game store,卡游,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,高,Colorado Game Company，Colorado Springs，board game store
2,CoolStuff Games,Maitland,FL,https://www.coolstuffinc.com/,board game store,卡游,小城市独立零售，竞争低,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,高,CoolStuff Games，Maitland，board game store
3,Crimson Dragon Games,Plano,TX,https://www.crimsondragongames.com/,board game store,卡游,小城市独立零售，竞争低,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,高,Crimson Dragon Games，Plano，board game store
4,Critical Hit Games,Mesa,AZ,https://www.criticalhitaz.com/,board game store,卡游,小城市独立零售，竞争低,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,高,Critical Hit Games，Mesa，board game store
5,Dragon's Keep Games,Provo,UT,https://www.dragonskeepgames.com/,board game store,卡游,小城市独立零售，竞争低,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,高,Dragon's Keep Games，Provo，board game store
6,Game Depot,Tempe,AZ,https://www.gamedepotaz.com/,board game store,卡游,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,高,Game Depot，Tempe，board game store
7,Grand Lantern Games,Grand Rapids,MI,https://www.grandlanterngames.com/,board game store,卡游,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,高,Grand Lantern Games，Grand Rapids，board game store
8,Heavy Dice Games,Provo,UT,https://www.heavydicegames.com/,board game store,卡游,小城市独立零售，竞争低,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,高,Heavy Dice Games，Provo，board game store
9,The Rook Game Room,New Orleans,LA,https://www.therooknola.com/,board game store / bar,卡游,旅游城市，礼品需求高,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,高,The Rook Game Room，New Orleans，board game store / bar
10,Time Vault Games,Portland,OR,https://www.timevaultgames.com/,board game store,卡游,旅游城市，礼品需求高,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,高,Time Vault Games，Portland，board game store
11,Bonny's Toys & Games,Evanston,IL,https://www.bonnystoys.com/,independent toy store,卡游,小城市独立零售，竞争低,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,中,Bonny's Toys & Games，Evanston，independent toy store
12,Chapel Hill Toys,Chapel Hill,NC,https://www.chapelhilltoys.com/,independent toy store,两者都适合,小城市独立零售，竞争低,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,中,Chapel Hill Toys，Chapel Hill，independent toy store
13,Diversions Puzzles & Games,Providence,RI,https://www.diversionspuzzles.com/,puzzle / game store,拼图,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,中,Diversions Puzzles & Games，Providence，puzzle / game store
14,Eureka! Puzzle Shop,Burlington,VT,https://www.eurekapuzzleshop.com/,puzzle store,拼图,小城市独立零售，竞争低,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,中,Eureka! Puzzle Shop，Burlington，puzzle store
15,Finnegan's Toys & Gifts,Portland,OR,https://www.finnegans toys.com/,independent toy store,两者都适合,旅游城市，礼品需求高,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,中,Finnegan's Toys & Gifts，Portland，independent toy store
16,Peekaboo Toys,Portland,OR,https://www.peekabootoyspdx.com/,independent toy store,两者都适合,旅游城市，礼品需求高,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,中,Peekaboo Toys，Portland，independent toy store
17,Toyopolis Santa Fe,Santa Fe,NM,https://toyopolissantafe.com/,independent toy store,两者都适合,小城市独立零售，竞争低,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,中,Toyopolis Santa Fe，Santa Fe，independent toy store
18,Wildcat Toys,Boulder,CO,https://www.wildcattoys.com/,independent toy store,两者都适合,大学城，家庭消费强,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,中,Wildcat Toys，Boulder，independent toy store
19,D4 Seasons,New Orleans,LA,https://www.d4seasons.com/,board game store,卡游,旅游城市，礼品需求高,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,中,D4 Seasons，New Orleans，board game store
20,Doc's Comics & Games,Fort Worth,TX,https://www.docscomics.com/,comic / game store,卡游,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,中,Doc's Comics & Games，Fort Worth，comic / game store
21,Fun4All Gaming Lounge,Grand Rapids,MI,https://www.fun4allgr.com/,board game store / lounge,卡游,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,低,Fun4All Gaming Lounge，Grand Rapids，board game store / lounge
22,I'm Board! Games & Family Fun,Madison,WI,https://imboardgames.com/,board game store,卡游,大学城，家庭消费强,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,低,I'm Board! Games & Family Fun，Madison，board game store
23,Beans & Ice Cream Toys,Madison,WI,https://www.beansandicecream.com/,independent toy store,两者都适合,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,低,Beans & Ice Cream Toys，Madison，independent toy store
24,Park City Toy Lending Library,Park City,UT,https://www.parkcitytoylibrary.com/,toy store / gift shop,两者都适合,小城市独立零售，竞争低,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,低,Park City Toy Lending Library，Park City，toy store / gift shop
25,Wonderment Toys,Madison,WI,https://www.wondermenttoys.com/,independent toy store,两者都适合,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,低,Wonderment Toys，Madison，independent toy store
26,B Plus Comics,New Orleans,LA,https://www.bpluscomics.com/,comic / game store,卡游,旅游城市，礼品需求高,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,低,B Plus Comics，New Orleans，comic / game store
27,Bold City Games,Jacksonville,FL,https://www.boldcitygames.com/,board game store,卡游,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,低,Bold City Games，Jacksonville，board game store
28,Collector's Paradise,Van Nuys,CA,https://www.collectorsparadise.com/,comic / game store,卡游,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,低,Collector's Paradise，Van Nuys，comic / game store
29,Comics & Gaming Outpost,Gainesville,VA,https://www.comicsgamingoutpost.com/,comic / game store,卡游,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,低,Comics & Gaming Outpost，Gainesville，comic / game store
30,Event Horizon Games,Raleigh,NC,https://www.eventhz.com/,board game store,卡游,独立零售活跃城市,官网无可见邮箱,无邮箱,人工找邮箱,官网 contact/about/wholesale 页面，或 Facebook/Instagram,低,Event Horizon Games，Raleigh，board game store
